service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_VRT_2213126,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213127,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213128,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213129,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213130,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213131,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213132,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213133,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213134,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213135,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213136,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213137,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213138,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213139,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213140,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213141,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213142,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213143,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213144,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213145,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213146,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213147,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213148,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213149,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213150,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213151,0,0,0,0,0,1,0,20190701,20200701
service_VRT_2213152,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213153,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213154,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213156,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213157,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213158,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213160,1,1,1,1,1,0,0,20190701,20200701
service_VRT_2213159,0,0,0,0,0,0,0,20190701,20200701
