trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1_08:45_Weekday_82588,08:45:00,08:45:00,01019999,0,,,,20.085339471021555
1_08:45_Weekday_82588,,,01010126,1,,,,4331.011366910825
1_08:45_Weekday_82588,,,01010154,2,,,,6945.142322956892
1_08:45_Weekday_82588,08:51:00,08:51:00,01010157,3,,,,8648.791206612965
1_08:45_Weekday_82588,,,01010638,4,,,,11462.425138425007
1_08:45_Weekday_82588,,,01010635,5,,,,12778.4083042568
1_08:45_Weekday_82588,,,01010427,6,,,,14514.822164439807
1_08:45_Weekday_82588,,,01010429,7,,,,17299.520783131033
1_08:45_Weekday_82588,,,01010433,8,,,,20245.866793443594
1_08:45_Weekday_82588,,,01010435,9,,,,21696.733608484825
1_08:45_Weekday_82588,,,01010438,10,,,,23280.74867593085
1_08:45_Weekday_82588,09:01:00,09:01:00,01011020,11,,,,24644.00150541777
1_08:45_Weekday_82588,,,01010446,12,,,,26110.73775200098
1_08:45_Weekday_82588,,,01010448,13,,,,27494.229368194538
1_08:45_Weekday_82588,,,01010996,14,,,,29831.395129221415
1_08:45_Weekday_82588,,,01011049,15,,,,32214.071300782878
1_08:45_Weekday_82588,,,01010077,16,,,,35281.861021282704
1_08:45_Weekday_82588,,,01011023,17,,,,38746.859744402434
1_08:45_Weekday_82588,,,01010079,18,,,,40312.0767296756
1_08:45_Weekday_82588,09:10:00,09:10:00,01011048,19,,,,41457.21438934639
1_15:45_Weekday_82589,15:45:00,15:45:00,01019999,0,,,,20.085339471021555
1_15:45_Weekday_82589,,,01010126,1,,,,4331.011366910825
1_15:45_Weekday_82589,,,01010154,2,,,,6945.142322956892
1_15:45_Weekday_82589,15:52:00,15:52:00,01010157,3,,,,8648.791206612965
1_15:45_Weekday_82589,,,01010638,4,,,,11462.425138425007
1_15:45_Weekday_82589,,,01010635,5,,,,12778.4083042568
1_15:45_Weekday_82589,,,01010427,6,,,,14514.822164439807
1_15:45_Weekday_82589,,,01010429,7,,,,17299.520783131033
1_15:45_Weekday_82589,,,01010433,8,,,,20245.866793443594
1_15:45_Weekday_82589,,,01010435,9,,,,21696.733608484825
1_15:45_Weekday_82589,,,01010438,10,,,,23280.74867593085
1_15:45_Weekday_82589,16:03:00,16:03:00,01011020,11,,,,24644.00150541777
1_15:45_Weekday_82589,,,01010446,12,,,,26110.73775200098
1_15:45_Weekday_82589,,,01010448,13,,,,27494.229368194538
1_15:45_Weekday_82589,,,01010996,14,,,,29831.395129221415
1_15:45_Weekday_82589,,,01011049,15,,,,32214.071300782878
1_15:45_Weekday_82589,,,01010077,16,,,,35281.861021282704
1_15:45_Weekday_82589,,,01011023,17,,,,38746.859744402434
1_15:45_Weekday_82589,,,01010079,18,,,,40312.0767296756
1_15:45_Weekday_82589,16:12:00,16:12:00,01011048,19,,,,41457.21438934639
1_07:15_Weekday_82590,07:15:00,07:15:00,01019999,0,,,,20.085339471021555
1_07:15_Weekday_82590,,,01010126,1,,,,4331.011366910825
1_07:15_Weekday_82590,,,01010154,2,,,,6945.142322956892
1_07:15_Weekday_82590,07:22:00,07:22:00,01010157,3,,,,8648.791206612965
1_07:15_Weekday_82590,,,01010638,4,,,,11462.425138425007
1_07:15_Weekday_82590,,,01010635,5,,,,12778.4083042568
1_07:15_Weekday_82590,,,01010427,6,,,,14514.822164439807
1_07:15_Weekday_82590,,,01010429,7,,,,17299.520783131033
1_07:15_Weekday_82590,,,01010433,8,,,,20245.866793443594
1_07:15_Weekday_82590,,,01010435,9,,,,21696.733608484825
1_07:15_Weekday_82590,,,01010438,10,,,,23280.74867593085
1_07:15_Weekday_82590,07:31:00,07:31:00,01011020,11,,,,24644.00150541777
1_07:15_Weekday_82590,,,01010446,12,,,,26110.73775200098
1_07:15_Weekday_82590,,,01010448,13,,,,27494.229368194538
1_07:15_Weekday_82590,,,01010996,14,,,,29831.395129221415
1_07:15_Weekday_82590,,,01011049,15,,,,32214.071300782878
1_07:15_Weekday_82590,,,01010077,16,,,,35281.861021282704
1_07:15_Weekday_82590,,,01011023,17,,,,38746.859744402434
1_07:15_Weekday_82590,,,01010079,18,,,,40312.0767296756
1_07:15_Weekday_82590,07:40:00,07:40:00,01011048,19,,,,41457.21438934639
1_09:45_Weekday_82591,09:45:00,09:45:00,01019999,0,,,,20.085339471021555
1_09:45_Weekday_82591,,,01010126,1,,,,4331.011366910825
1_09:45_Weekday_82591,,,01010154,2,,,,6945.142322956892
1_09:45_Weekday_82591,09:51:00,09:51:00,01010157,3,,,,8648.791206612965
1_09:45_Weekday_82591,,,01010638,4,,,,11462.425138425007
1_09:45_Weekday_82591,,,01010635,5,,,,12778.4083042568
1_09:45_Weekday_82591,,,01010427,6,,,,14514.822164439807
1_09:45_Weekday_82591,,,01010429,7,,,,17299.520783131033
1_09:45_Weekday_82591,,,01010433,8,,,,20245.866793443594
1_09:45_Weekday_82591,,,01010435,9,,,,21696.733608484825
1_09:45_Weekday_82591,,,01010438,10,,,,23280.74867593085
1_09:45_Weekday_82591,10:01:00,10:01:00,01011020,11,,,,24644.00150541777
1_09:45_Weekday_82591,,,01010446,12,,,,26110.73775200098
1_09:45_Weekday_82591,,,01010448,13,,,,27494.229368194538
1_09:45_Weekday_82591,,,01010996,14,,,,29831.395129221415
1_09:45_Weekday_82591,,,01011049,15,,,,32214.071300782878
1_09:45_Weekday_82591,,,01010077,16,,,,35281.861021282704
1_09:45_Weekday_82591,,,01011023,17,,,,38746.859744402434
1_09:45_Weekday_82591,,,01010079,18,,,,40312.0767296756
1_09:45_Weekday_82591,10:10:00,10:10:00,01011048,19,,,,41457.21438934639
1_11:45_Weekday_82592,11:45:00,11:45:00,01019999,0,,,,20.085339471021555
1_11:45_Weekday_82592,,,01010126,1,,,,4331.011366910825
1_11:45_Weekday_82592,,,01010154,2,,,,6945.142322956892
