route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
route_VRT_2500,service_VRT_2213129,3_07:15_Weekday_82697,,0,5320,shape_VRT_6530
route_VRT_2501,service_VRT_2213131,4_15:10_Weekday_82817,,1,5240,shape_VRT_6533
route_VRT_2522,service_VRT_2213158,52_06:35_Weekday_83514,,1,1030,shape_VRT_6587
route_VRT_2504,service_VRT_2213136,7A_19:06_Weekday_82983,,1,5210,shape_VRT_6539
route_VRT_2504,service_VRT_2213136,7A_08:06_Weekday_82974,,1,5210,shape_VRT_6539
route_VRT_2508,service_VRT_2213142,9_14:15_Weekday_83075,,0,5080,shape_VRT_6547
route_VRT_2502,service_VRT_2213132,5_17:50_Weekday_82846,,0,5220,shape_VRT_6534
route_VRT_2501,service_VRT_2213131,4_14:40_Weekday_82816,,1,5340,shape_VRT_6533
route_VRT_2507,service_VRT_2213141,8x_07:30_Weekday_83070,,0,5170,shape_VRT_6546
route_VRT_2508,service_VRT_2213143,9_11:13_Saturday_83187,,1,7070,shape_VRT_6548
route_VRT_2504,service_VRT_2213136,7A_19:45_Weekday_82958,,0,5210,shape_VRT_6538
route_VRT_2499,service_VRT_2213128,2_11:45_Saturday_82643,,0,7020,shape_VRT_6528
route_VRT_2509,service_VRT_2213144,10_07:45_Weekday_83203,,0,5070,shape_VRT_6549
route_VRT_2511,service_VRT_2213146,12_15:11_Weekday_83251,,1,5050,shape_VRT_6556
route_VRT_2499,service_VRT_2213127,2_18:05_Weekday_82684,,1,5060,shape_VRT_6529
route_VRT_2515,service_VRT_2213151,29_17:45_Saturday_83377,,0,7000,shape_VRT_6566
route_VRT_2517,service_VRT_2213153,42_09:20_Weekday_83427,,0,1080,shape_VRT_6574
route_VRT_2504,service_VRT_2213136,7A_17:08_Weekday_82970,,1,5210,shape_VRT_6539
route_VRT_2499,service_VRT_2213127,2_17:05_Weekday_82682,,1,5060,shape_VRT_6529
route_VRT_2508,service_VRT_2213142,9_12:15_Weekday_83098,,0,5080,shape_VRT_6547
route_VRT_2505,service_VRT_2213138,7B_16:45_Weekday_83039,,1,5200,shape_VRT_6542
route_VRT_2502,service_VRT_2213133,5_12:15_Saturday_82858,,1,7030,shape_VRT_6535
route_VRT_2505,service_VRT_2213139,7B_08:15_Saturday_83016,,0,7060,shape_VRT_6541
route_VRT_2516,service_VRT_2213152,40_16:55_Weekday_83421,,0,1220,shape_VRT_6572
route_VRT_2516,service_VRT_2213152,40_14:45_Weekday_83418,,0,1220,shape_VRT_6571
route_VRT_2502,service_VRT_2213132,5_08:45_Weekday_82864,,1,5300,shape_VRT_6535
route_VRT_2513,service_VRT_2213148,17_06:45_Weekday_83292,,0,5290,shape_VRT_6559
route_VRT_2508,service_VRT_2213142,9_09:00_Weekday_83093,,0,5100,shape_VRT_6547
route_VRT_2500,service_VRT_2213129,3_06:20_Weekday_82745,,1,5370,shape_VRT_6531
route_VRT_2502,service_VRT_2213132,5_16:50_Weekday_82844,,0,5000,shape_VRT_6534
route_VRT_2503,service_VRT_2213135,6_10:09_Saturday_82935,,1,7040,shape_VRT_6537
route_VRT_2498,service_VRT_2213126,1_07:10_Weekday_82609,,1,5220,shape_VRT_6527
route_VRT_2515,service_VRT_2213150,29_08:45_Weekday_83360,,0,5130,shape_VRT_6566
route_VRT_2503,service_VRT_2213134,6_07:39_Weekday_82921,,1,5280,shape_VRT_6537
route_VRT_2506,service_VRT_2213140,8_08:45_Weekday_83051,,0,5170,shape_VRT_6543
route_VRT_2503,service_VRT_2213135,6_11:45_Saturday_82908,,0,7040,shape_VRT_6536
route_VRT_2513,service_VRT_2213148,17_18:24_Weekday_83324,,1,5380,shape_VRT_6562
route_VRT_2503,service_VRT_2213134,6_11:45_Weekday_82896,,0,5260,shape_VRT_6536
route_VRT_2503,service_VRT_2213135,6_07:45_Saturday_82905,,0,7040,shape_VRT_6536
route_VRT_2507,service_VRT_2213141,8x_14:35_Weekday_83065,,1,5170,shape_VRT_6545
route_VRT_2500,service_VRT_2213130,3_08:15_Saturday_82693,,0,7010,shape_VRT_6530
route_VRT_2508,service_VRT_2213142,9_08:28_Weekday_83147,,1,5100,shape_VRT_6548
route_VRT_2508,service_VRT_2213142,9_09:43_Weekday_83152,,1,5080,shape_VRT_6548
route_VRT_2499,service_VRT_2213127,2_10:45_Weekday_82627,,0,5370,shape_VRT_6528
route_VRT_2503,service_VRT_2213134,6_08:15_Weekday_82894,,0,5280,shape_VRT_6536
route_VRT_2502,service_VRT_2213132,5_14:50_Weekday_82841,,0,5000,shape_VRT_6534
route_VRT_2500,service_VRT_2213130,3_14:20_Saturday_82770,,1,7020,shape_VRT_6531
route_VRT_2503,service_VRT_2213135,6_11:09_Saturday_82936,,1,7040,shape_VRT_6537
route_VRT_2498,service_VRT_2213126,1_16:15_Weekday_82602,,0,5310,shape_VRT_6526
route_VRT_2513,service_VRT_2213148,17_18:52_Weekday_83315,,1,5290,shape_VRT_6560
route_VRT_2503,service_VRT_2213134,6_16:39_Weekday_82931,,1,5270,shape_VRT_6537
route_VRT_2508,service_VRT_2213143,9_15:45_Saturday_83125,,0,7070,shape_VRT_6547
route_VRT_2501,service_VRT_2213131,4_14:15_Weekday_82798,,0,5320,shape_VRT_6532
route_VRT_2500,service_VRT_2213130,3_15:20_Saturday_82771,,1,7020,shape_VRT_6531
route_VRT_2514,service_VRT_2213149,28_14:45_Weekday_83327,,0,5160,shape_VRT_6563
route_VRT_2515,service_VRT_2213151,29_14:15_Saturday_83405,,1,7000,shape_VRT_6567
route_VRT_2522,service_VRT_2213158,52_11:35_Weekday_83492,,0,1310,shape_VRT_6585
route_VRT_2503,service_VRT_2213134,6_17:15_Weekday_82888,,0,5270,shape_VRT_6536
route_VRT_2509,service_VRT_2213144,10_17:45_Weekday_83210,,0,5070,shape_VRT_6549
route_VRT_2499,service_VRT_2213128,2_08:45_Saturday_82630,,0,7020,shape_VRT_6528
route_VRT_2501,service_VRT_2213131,4_08:45_Weekday_82793,,0,5230,shape_VRT_6532
route_VRT_2515,service_VRT_2213150,29_18:15_Weekday_83398,,1,5140,shape_VRT_6567
route_VRT_2512,service_VRT_2213147,16_16:28_Weekday_83288,,1,5290,shape_VRT_6558
route_VRT_2508,service_VRT_2213143,9_10:13_Saturday_83185,,1,7070,shape_VRT_6548
route_VRT_2500,service_VRT_2213129,3_13:50_Weekday_82758,,1,5320,shape_VRT_6531
route_VRT_2505,service_VRT_2213138,7B_06:45_Weekday_83031,,1,5200,shape_VRT_6542
route_VRT_2500,service_VRT_2213130,3_10:15_Saturday_82715,,0,7010,shape_VRT_6530
route_VRT_2511,service_VRT_2213146,12_08:09_Weekday_83254,,1,5050,shape_VRT_6556
route_VRT_2509,service_VRT_2213144,10_13:45_Weekday_83207,,0,5070,shape_VRT_6549
route_VRT_2521,service_VRT_2213157,51_07:45_Weekday_83469,,0,1190,shape_VRT_6583
route_VRT_2499,service_VRT_2213128,2_07:45_Saturday_82640,,0,7020,shape_VRT_6528
route_VRT_2500,service_VRT_2213129,3_07:45_Weekday_82699,,0,5060,shape_VRT_6530
route_VRT_2501,service_VRT_2213131,4_18:15_Weekday_82804,,0,5250,shape_VRT_6532
route_VRT_2503,service_VRT_2213134,6_09:09_Weekday_82915,,1,5260,shape_VRT_6537
route_VRT_2516,service_VRT_2213152,40_06:30_Weekday_83414,,0,1060,shape_VRT_6569
route_VRT_2522,service_VRT_2213158,52_14:50_Weekday_83495,,0,1140,shape_VRT_6585
route_VRT_2500,service_VRT_2213130,3_12:15_Saturday_82717,,0,7010,shape_VRT_6530
route_VRT_2509,service_VRT_2213144,10_11:45_Weekday_83201,,0,5070,shape_VRT_6549
route_VRT_2500,service_VRT_2213129,3_08:30_Weekday_82701,,0,5330,shape_VRT_6530
route_VRT_2504,service_VRT_2213137,7A_15:45_Saturday_82966,,0,7050,shape_VRT_6538
route_VRT_2515,service_VRT_2213150,29_07:15_Weekday_83382,,1,5130,shape_VRT_6567
route_VRT_2498,service_VRT_2213126,1_06:10_Weekday_82608,,1,5000,shape_VRT_6527
route_VRT_2502,service_VRT_2213132,5_18:15_Weekday_82875,,1,5220,shape_VRT_6535
route_VRT_2499,service_VRT_2213128,2_16:35_Saturday_82676,,1,7010,shape_VRT_6529
route_VRT_2515,service_VRT_2213150,29_07:15_Weekday_83350,,0,5120,shape_VRT_6566
route_VRT_2501,service_VRT_2213131,4_10:40_Weekday_82809,,1,5340,shape_VRT_6533
route_VRT_2515,service_VRT_2213150,29_13:15_Weekday_83364,,0,5120,shape_VRT_6566
route_VRT_2508,service_VRT_2213142,9_09:15_Weekday_83073,,0,5080,shape_VRT_6547
route_VRT_2500,service_VRT_2213129,3_17:45_Weekday_82727,,0,5060,shape_VRT_6530
route_VRT_2504,service_VRT_2213137,7A_10:45_Saturday_82962,,0,7050,shape_VRT_6538
route_VRT_2500,service_VRT_2213129,3_08:20_Weekday_82750,,1,5370,shape_VRT_6531
route_VRT_2501,service_VRT_2213131,4_16:10_Weekday_82819,,1,5240,shape_VRT_6533
route_VRT_2501,service_VRT_2213131,4_17:40_Weekday_82821,,1,5250,shape_VRT_6533
route_VRT_2508,service_VRT_2213142,9_20:13_Weekday_83178,,1,5090,shape_VRT_6548
route_VRT_2516,service_VRT_2213152,40_17:08_Weekday_83423,,1,1260,shape_VRT_6573
route_VRT_2517,service_VRT_2213153,42_10:45_Weekday_83435,,1,1080,shape_VRT_6575
route_VRT_2511,service_VRT_2213146,12_10:45_Weekday_83243,,0,5050,shape_VRT_6555
route_VRT_2514,service_VRT_2213149,28_11:15_Weekday_83344,,1,5160,shape_VRT_6565
route_VRT_2512,service_VRT_2213147,16_07:28_Weekday_83281,,1,5290,shape_VRT_6558
route_VRT_2498,service_VRT_2213126,1_06:45_Weekday_82595,,0,5220,shape_VRT_6526
route_VRT_2499,service_VRT_2213127,2_06:15_Weekday_82648,,0,5340,shape_VRT_6528
route_VRT_2499,service_VRT_2213128,2_07:35_Saturday_82669,,1,7010,shape_VRT_6529
route_VRT_2505,service_VRT_2213138,7B_11:45_Weekday_83035,,1,5200,shape_VRT_6542
route_VRT_2509,service_VRT_2213144,10_12:08_Weekday_83220,,1,5070,shape_VRT_6550
route_VRT_2499,service_VRT_2213127,2_15:05_Weekday_82679,,1,5060,shape_VRT_6529
route_VRT_2513,service_VRT_2213148,17_11:45_Weekday_83296,,0,5290,shape_VRT_6559
route_VRT_2502,service_VRT_2213133,5_16:45_Saturday_82854,,0,7030,shape_VRT_6534
route_VRT_2501,service_VRT_2213131,4_06:45_Weekday_82791,,0,5230,shape_VRT_6532
route_VRT_2502,service_VRT_2213133,5_17:45_Saturday_82831,,0,7030,shape_VRT_6534
route_VRT_2498,service_VRT_2213126,1_18:15_Weekday_82597,,0,5310,shape_VRT_6526
